category,entry,has_typo
CT Abdomen Pelvis without Contrast,CT Abdomen and Pelvis without Contrast,0
CT Abdomen Pelvis without Contrast,Abdomen Pelvis CT without Contrast,0
CT Abdomen Pelvis without Contrast,Pelvis and Abdomen CT without Contrast,0
CT Abdomen Pelvis without Contrast,Contrast-free CT of Abdomen and Pelvis,0
CT Abdomen Pelvis without Contrast,CT Abdo/Pelvis without Contrast,0
CT Abdomen Pelvis without Contrast,Abdomen/Pelvis CT - No Contrast,0
CT Abdomen Pelvis without Contrast,CT Abdomen Pelvis wo/ Contrast,0
CT Abdomen Pelvis without Contrast,CT Abdomen & Pelvis - No Contrast,0
CT Abdomen Pelvis without Contrast,CT Abdomen Pelvis w/o Contrast,0
CT Abdomen Pelvis without Contrast,Non-Contrast CT Scan of Abdomen and Pelvis,0
CT Abdomen Pelvis without Contrast,"CT Scan for Abdomen and Pelvis, Contrast Excluded",0
CT Abdomen Pelvis without Contrast,"Abdominal and Pelvic CT, No Contrast Utilized",0
CT Abdomen Pelvis without Contrast,Computed Tomography of Abdomen & Pelvis without Using Contrast,0
CT Abdomen Pelvis without Contrast,"CT Examination of Pelvis and Abdomen, Contrast Omitted",0
CT Abdomen Pelvis without Contrast,No-Contrast Abdomen-Pelvis CT Imaging,0
CT Abdomen Pelvis without Contrast,Contrastless CT of Pelvis & Abdomen,0
CT Abdomen Pelvis without Contrast,Abdomen & Pelvis Computed Tomography - Contrast-Free,0
CT Abdomen Pelvis without Contrast,"CT Imaging: Abdomen plus Pelvis, Minus Contrast",0
CT Abdomen Pelvis without Contrast,Pelvic-Abdominal CT Scan Without Contrast Medium,0
CT Abdomen Pelvis without Contrast,Abdomen and Pelvis CT: Zero Contrast,0
CT Abdomen Pelvis without Contrast,Non-Contrasted CT for Abdomen and Pelvic Region,0
CT Abdomen Pelvis without Contrast,Abdomen-Pelvis CT Without the Use of Contrast,0
CT Abdomen Pelvis without Contrast,Contrast-Free Computed Tomography: Abdomen and Pelvis,0
CT Abdomen Pelvis without Contrast,Abdominal & Pelvic CT - Excluding Contrast Agent,0
CT Abdomen Pelvis without Contrast,"CT Scan: Abdomen & Pelvis, No Contrast Material",0
CT Abdomen Pelvis without Contrast,Abdomen-Pelvis Non-Contrast Computed Tomography Scan,0
CT Abdomen Pelvis without Contrast,Abdomen and Pelvis CT without Contrast Enhancement,0
CT Abdomen Pelvis without Contrast,CT Imaging Abdomen and Pelvis - Non-Contrasted,0
CT Abdomen Pelvis without Contrast,"Abdomen & Pelvis CT Scan, Devoid of Contrast",0
